Distance,A_M1_C_B1_Y,A_M1_C_B1_Z,A_M1_B1_W1_Y_L,A_M1_B1_BC_Y_L,A_M1_B1_W2_Y_L,A_M1_B1_W1_Y_R,A_M1_B1_BC_Y_R,A_M1_B1_W2_Y_R,A_M1_B1_W1_Z_L,A_M1_B1_BC_Z_L,A_M1_B1_W2_Z_L,A_M1_B1_W1_Z_R,A_M1_B1_BC_Z_R,A_M1_B1_W2_Z_R,A__B1_W1_Y_A_axle_L,A__B1_W2_Y_A_axle_L,A__B1_W1_Y_A_axle_R,A__B1_W2_Y_A_axle_R,A__B1_W1_Z_A_axle_L,A__B1_W2_Z_A_axle_L,A__B1_W1_Z_A_axle_R,A__B1_W2_Z_A_axle_R,V_M1_B1_W1_L,V_M1_B1_W1_R,QL_M1_B1_W1,QR_M1_B1_W1,V_M1_B1_W2_L,V_M1_B1_W2_R,QL_M1_B1_W2,QR_M1_B1_W2,YL_M1_B1_W1,YR_M1_B1_W1,YL_M1_B1_W2,YR_M1_B1_W2
0.0,-1.2734e-09,-1.9435e-08,0.022194,0.022194,0.022194,0.022194,0.022194,0.022194,-0.055737,-0.055737,-0.055737,0.055744,0.055744,0.055744,0.030532,-0.00091754,0.030532,-0.00091754,-29.36,0.086999,33.41,-0.085212,-20.36,24.15,-0.3059,0.3548,0.00083177,0.00084701,1.2497e-05,1.2439e-05,0.0013663,0.0015578,0.0014122,0.0014056
0.25,1.4856e-05,3.403e-06,0.1615,0.1598,0.1582,0.1615,0.1598,0.1582,-0.3695,-0.3845,-0.3995,0.424,0.409,0.3941,0.441,-0.0040294,0.4404,-0.0040294,-6.674,0.04232,6.927,-0.040134,-5.737,6.022,-0.086214,0.088455,-0.010882,0.012985,-0.0001635,0.00019069,0.0073372,-0.0046381,0.0014481,0.0015246
0.5,0.00027065,5.1129e-05,0.5795,0.5695,0.5595,0.5795,0.5695,0.5595,-1.329,-1.366,-1.402,1.463,1.426,1.39,0.76,0.0010298,0.7578,0.0010298,-2.891,-0.2143,2.705,0.2166,-5.695,5.64,-0.085584,0.082844,-0.0084467,0.010115,-0.00012691,0.00014854,0.011998,-0.0093342,0.0017151,0.0016071
0.75,0.0012479,0.00012959,0.812,0.7895,0.7671,0.8118,0.7893,0.7669,-2.511,-2.166,-1.82,1.26,1.605,1.951,0.5327,0.034496,0.5329,0.03449,-10.3,-0.6987,-19.86,0.7005,-16.6,-12.78,-0.2494,-0.1877,0.1535,-0.1539,0.002307,-0.0022606,0.0085655,-0.0051156,0.0024098,0.0012004
1.0,0.0030809,-0.0014669,0.3831,0.3497,0.3163,0.3827,0.3493,0.3159,-5.545,-2.892,-0.2392,-4.139,-1.486,1.166,-0.057308,0.08896,-0.055914,0.088914,-11.66,-0.9139,-19.17,0.8828,-19.26,-18.27,-0.2895,-0.2683,0.6308,-0.6304,0.0094767,-0.0092576,0.0026054,0.001091,0.0034302,0.0003514
1.25,0.005123,-0.010753,-0.3898,-0.4337,-0.4777,-0.3898,-0.4338,-0.4777,-8.406,-3.055,2.297,-11.07,-5.721,-0.3701,-0.3788,0.1068,-0.3768,0.1068,9.375,-0.1797,1.731,-0.013333,0.406,-7.526,0.0061011,-0.1105,1.344,-1.298,0.020199,-0.019069,-0.00032831,0.0041832,0.0039651,-7.5027e-05
1.5,0.0064455,-0.031811,-1.003,-1.062,-1.12,-1.002,-1.061,-1.12,-5.016,-0.4961,4.024,-10.92,-6.396,-1.876,-0.5592,0.018048,-0.5583,0.018138,13.56,1.358,9.519,-1.764,10.63,-3.551,0.1598,-0.052155,1.86,-1.616,0.027949,-0.023736,-0.0026067,0.0062514,0.0029329,0.0010029
1.75,0.0065268,-0.057098,-1.066,-1.145,-1.225,-1.065,-1.145,-1.224,3.4,3.665,3.93,-2.917,-2.651,-2.386,-0.5823,-0.1655,-0.5819,-0.1653,-2.693,2.676,-5.636,-2.883,4.842,-12.35,0.072767,-0.1815,1.626,-0.9968,0.024426,-0.014639,-0.0024663,0.0060305,0.00034366,0.0035577
2.0,0.0055972,-0.072134,-0.611,-0.7075,-0.8041,-0.6109,-0.7075,-0.804,8.541,5.439,2.337,4.527,1.426,-1.676,-0.6871,-0.33,-0.6863,-0.3301,-6.848,2.673,-15.37,-1.973,4.992,-13.77,0.075019,-0.2022,0.3687,0.549,0.0055391,0.0080631,-0.0043159,0.0076833,-0.0022173,0.0061891
2.25,0.0043896,-0.070672,-0.053855,-0.1432,-0.2326,-0.05432,-0.1437,-0.233,6.536,3.44,0.3447,5.576,2.48,-0.6154,-0.7656,-0.337,-0.7669,-0.3375,0.9292,1.065,-3.452,0.627,9.717,-0.5816,0.146,-0.0085432,-1.637,2.212,-0.024591,0.032485,-0.0073572,0.010983,-0.0027707,0.0069043
